"","Distance","ratioNSP2","ratioOther","Protein"
"581",-0.0029786,0.3635,0.36053,"NSP5"
"591",-0.027819,0.35476,0.32694,"NSP5"
"601",-0.00047256,0.34846,0.34798,"NSP5"
"61",-0.0077451,0.34382,0.33608,"NSP5"
"621",0.0061912,0.34304,0.34923,"NSP5"
"631",-0.0032829,0.34232,0.33903,"NSP5"
"641",-0.030993,0.32738,0.29639,"NSP5"
"651",0.044178,0.28116,0.32534,"NSP5"
"110",0.31347,0.44767,0.76114,"VP4"
"210",0.16962,0.42838,0.598,"VP4"
"310",0.090122,0.43702,0.52714,"VP4"
"410",0.064182,0.4717,0.53588,"VP4"
"510",0.12374,0.37216,0.4959,"VP4"
"610",0.07863,0.34686,0.42549,"VP4"
"710",0.094983,0.31425,0.40923,"VP4"
"810",0.32445,0.44526,0.76971,"VP4"
"910",0.15282,0.26999,0.42281,"VP4"
"102",0.17913,0.52324,0.70237,"VP4"
"111",0.10128,0.375,0.47628,"VP4"
"121",0.48899,0.42013,0.90912,"VP4"
"131",-0.0017866,0.32115,0.31937,"VP4"
"141",0.082466,0.30436,0.38683,"VP4"
"151",0.19557,0.32858,0.52415,"VP4"
"161",0.0968,0.30767,0.40447,"VP4"
"171",0.059397,0.23513,0.29453,"VP4"
"181",0.097997,0.31112,0.40912,"VP4"
"191",0.10887,0.3938,0.50267,"VP4"
"201",0.11624,0.35928,0.47552,"VP4"
"211",0.17946,0.42323,0.60269,"VP4"
"221",0.12558,0.40206,0.52764,"VP4"
"231",0.24579,0.39808,0.64387,"VP4"
"241",0.12307,0.38252,0.50558,"VP4"
"251",0.092472,0.4127,0.50517,"VP4"
"261",0.21625,0.44277,0.65902,"VP4"
"271",0.22515,0.43509,0.66024,"VP4"
"281",0.097793,0.39861,0.4964,"VP4"
"291",0.23597,0.32114,0.55712,"VP4"
"301",0.020499,0.28801,0.30851,"VP4"
"312",0.23911,0.41629,0.6554,"VP4"
"322",0.13377,0.41985,0.55362,"VP4"
"332",0.082657,0.36164,0.4443,"VP4"
"342",0.075597,0.3087,0.3843,"VP4"
"352",0.18004,0.37922,0.55926,"VP4"
"362",0.16795,0.37745,0.5454,"VP4"
"372",0.14563,0.3074,0.45303,"VP4"
"382",0.13016,0.30882,0.43898,"VP4"
"392",0.18785,0.35806,0.54591,"VP4"
"402",0.23522,0.31693,0.55214,"VP4"
"412",0.27823,0.43555,0.71377,"VP4"
"422",0.15796,0.43789,0.59585,"VP4"
"432",0.23159,0.32397,0.55557,"VP4"
"442",0.19248,0.28774,0.48022,"VP4"
"452",0.16792,0.36242,0.53035,"VP4"
"462",0.17781,0.3875,0.56531,"VP4"
"472",0.16879,0.24022,0.40901,"VP4"
"482",0.067066,0.37438,0.44145,"VP4"
"492",0.10269,0.50494,0.60763,"VP4"
"502",0.11968,0.39224,0.51192,"VP4"
"512",0.20004,0.42713,0.62717,"VP4"
"522",0.14373,0.55462,0.69835,"VP4"
"532",0.3114,0.60867,0.92007,"VP4"
"542",0.20128,0.38821,0.5895,"VP4"
"552",0.29168,0.61974,0.91142,"VP4"
"562",0.22933,0.53243,0.76177,"VP4"
"572",0.2591,0.62391,0.88301,"VP4"
"582",0.21776,0.72138,0.93914,"VP4"
"592",0.044425,0.53017,0.5746,"VP4"
"602",0.21995,0.37955,0.5995,"VP4"
"112",0.29216,0.61521,0.90737,"VP7_Tri"
"212",0.39871,0.46754,0.86624,"VP7_Tri"
"313",0.30074,0.37446,0.6752,"VP7_Tri"
"413",0.1996,0.38066,0.58026,"VP7_Tri"
"513",0.25017,0.30878,0.55895,"VP7_Tri"
"611",0.31268,0.33731,0.64999,"VP7_Tri"
"711",0.3652,0.51802,0.88322,"VP7_Tri"
"811",0.31662,0.45534,0.77196,"VP7_Tri"
"911",0.30862,0.46108,0.7697,"VP7_Tri"
"103",0.30218,0.24527,0.54745,"VP7_Tri"
"113",0.38035,0.40343,0.78378,"VP7_Tri"
"122",0.35916,0.51551,0.87466,"VP7_Tri"
"132",0.30896,0.43829,0.74725,"VP7_Tri"
"142",0.29823,0.4182,0.71644,"VP7_Tri"
"152",0.54237,0.43454,0.97692,"VP7_Tri"
"162",0.11848,0.32883,0.44731,"VP7_Tri"
"172",0.36599,0.35636,0.72234,"VP7_Tri"
"182",0.31867,0.33891,0.65757,"VP7_Tri"
"192",0.53823,0.32369,0.86193,"VP7_Tri"
"202",0.2514,0.41919,0.67059,"VP7_Tri"
"213",0.43451,0.48026,0.91477,"VP7_Tri"
"222",0.3917,0.49113,0.88283,"VP7_Tri"
"232",0.69917,0.50736,1.2065,"VP7_Tri"
"242",0.26697,0.37291,0.63987,"VP7_Tri"
"252",0.45088,0.46961,0.92049,"VP7_Tri"
"262",0.59063,0.46254,1.0532,"VP7_Tri"
"272",0.59063,0.46254,1.0532,"VP7_Tri"
"282",0.34885,0.60079,0.94964,"VP7_Tri"
"292",0.22771,0.35406,0.58178,"VP7_Tri"
"302",0.73862,0.46942,1.208,"VP7_Tri"
"314",0.34101,0.41392,0.75492,"VP7_Tri"
"323",0.1702,0.3794,0.5496,"VP7_Tri"
"333",0.35328,0.39994,0.75322,"VP7_Tri"
"343",0.42141,0.3695,0.7909,"VP7_Tri"
"353",0.58342,0.3065,0.88992,"VP7_Tri"
"363",0.36807,0.37564,0.74371,"VP7_Tri"
"373",0.60551,0.32016,0.92567,"VP7_Tri"
"383",0.61385,0.47607,1.0899,"VP7_Tri"
"393",0.6173,0.36635,0.98365,"VP7_Tri"
"403",0.25311,0.32376,0.57687,"VP7_Tri"
"414",0.66342,0.4887,1.1521,"VP7_Tri"
"423",0.57786,0.43046,1.0083,"VP7_Tri"
"433",0.48844,0.58653,1.075,"VP7_Tri"
"812",0.28142,0.53384,0.81526,"VP7_Mon"
"912",0.66914,0.52914,1.1983,"VP7_Mon"
"104",0.36037,0.51928,0.87965,"VP7_Mon"
"114",0.32649,0.50422,0.83071,"VP7_Mon"
"123",0.48946,0.50082,0.99029,"VP7_Mon"
"133",0.74928,0.50001,1.2493,"VP7_Mon"
"143",0.62938,0.49612,1.1255,"VP7_Mon"
"153",0.39097,0.49469,0.88566,"VP7_Mon"
