Distance,ratioNSP2,ratioOther
4.6401,44.95,49.59
8.7854,58.932,67.717
9.9907,39.682,49.673
5.6227,43.046,48.669
5.5097,31.166,36.675
2.185,26.043,28.228
5.2244,39.446,44.671
1.6451,48.686,50.331
7.4613,50.367,57.828
13.056,49.284,62.34
6.3299,36.635,42.965
0.83427,27.537,28.371
6.2863,38.311,44.597
5.0542,21.513,26.568
1.827,22.477,24.304
4.3897,33.349,37.738
6.1524,49.202,55.355
6.2015,39.179,45.381
13.718,61.807,75.525
3.7774,27.587,31.365
3.9116,27.142,31.054
14.947,81.778,96.725
3.9898,31.77,35.76
2.3409,26.956,29.297
5.0351,38.545,43.58
10.028,42.364,52.392
8.625,36.668,45.293
10.83,28.483,39.313
14.15,24.517,38.667
3.8689,30.966,34.835
2.0248,36.2,38.225
7.269,33.606,40.875
15.122,55.3,70.422
3.5447,29.075,32.62
3.1424,30.917,34.059
7.7167,32.098,39.815
6.6518,26.35,33.002
10.124,28.993,39.117
11.413,25.67,37.083
10.475,41.465,51.94
14.595,38.569,53.164
17.401,44.498,61.899
10.616,37.943,48.56
14.051,47.296,61.348
7.253,48.023,55.276
8.0879,40.575,48.663
2.5567,25.911,28.468
4.406,38.58,42.986
4.8934,49.155,54.049
1.7599,35.303,37.063
2.8893,43.32,46.209
19.256,34.968,54.225
9.0549,33.155,42.21
6.6554,35.752,42.408
4.5388,28.943,33.481
3.198,27.361,30.559
5.2706,37.316,42.587
4.2278,29.412,33.64
8.9418,26.046,34.988
7.6092,23.759,31.369
3.5125,28.916,32.429
10.655,31.03,41.685
7.4341,25.641,33.075
2.8659,30.436,33.302
12.753,30.126,42.878
3.2026,34.148,37.351
3.7413,25.038,28.779
4.9423,29.887,34.829
3.3146,27.892,31.206
6.0741,41.459,47.533
0.90204,52.181,53.083
6.1493,51.107,57.256
4.5145,41.777,46.292
6.8277,44.751,51.579
17.988,67.013,85.001
7.5901,47.283,54.873
3.7512,29.605,33.356
6.434,59.452,65.886
7.6989,49.38,57.079
12.878,52.946,65.824
10.304,49.231,59.535
6.44,44.224,50.664
