Distance,ratioNSP2,ratioOther
41.378,55.903,97.282
28.142,53.384,81.526
34.81,47.572,82.382
46.243,38.832,85.074
44.219,47.919,92.137
32.892,39.911,72.803
32.649,50.422,83.071
36.928,38.771,75.699
35.952,41.861,77.813
38.812,42.918,81.73
62.938,49.612,112.55
36.37,43.071,79.442
39.821,42.581,82.402
58.203,54.007,112.21
41.776,37.655,79.432
44.67,39.983,84.653
41.917,46.046,87.964
40.411,42.597,83.008
44.404,35.034,79.438
23.795,46.899,70.694
37.83,34.107,71.937
27.223,43.52,70.743
55.828,46.62,102.45
66.914,52.914,119.83
21.971,27.86,49.831
33.736,45.943,79.679
77.008,54.86,131.87
39.097,49.469,88.566
48.946,50.082,99.029
53.786,45.578,99.364
46.266,30.244,76.51
41.115,44.442,85.557
66.208,40.438,106.65
35.323,34.031,69.355
64.253,34.645,98.897
41.122,34.774,75.896
74.928,50.001,124.93
47.628,41.357,88.984
19.669,30.815,50.484
46.52,40.293,86.813
23.554,39.157,62.711
16.906,36.831,53.737
32.392,35.718,68.11
41.95,80.549,122.5
30.656,35.418,66.074
121.84,61.346,183.18
49.614,58.644,108.26
37.83,34.61,72.44
36.037,51.928,87.965
59.833,39.067,98.9
15.639,32.89,48.529
35.217,41.52,76.737
29.432,45.076,74.508
26.116,58.788,84.904
21.755,31.877,53.633
28.648,40.568,69.216
24.196,32.228,56.425
35.859,41.157,77.016
38.493,45.036,83.53
30.401,31.22,61.621
27.217,34.097,61.314
28.242,30.901,59.143
35.161,36.757,71.918
74.952,46.283,121.24
33.605,43.279,76.884
65.235,43.791,109.03
62.147,35.414,97.56
