Distance,ratioNSP2,ratioOther
-21.339,72.501,51.162
0.21655,42.281,42.497
-0.047256,34.846,34.798
-10.319,49.668,39.349
-3.0993,32.738,29.639
-0.12067,37.673,37.553
-0.77451,34.382,33.608
-0.32829,34.232,33.903
1.3547,37.427,38.782
-0.79147,55.684,54.893
-0.8562,62.982,62.125
0.23494,56.036,56.271
-1.604,64.578,62.974
-1.5646,49.028,47.464
-1.7545,44.988,43.234
1.4893,47.567,49.056
-4.4798,41.9,37.42
-2.3747,40.334,37.959
-3.7712,60.468,56.696
-2.7429,47.04,44.297
-3.5149,38.632,35.117
4.4178,28.116,32.534
0.61912,34.304,34.923
-24.487,71.747,47.26
-32.466,65.411,32.944
15.985,65.475,81.46
-0.10074,45.448,45.347
-15.538,56.443,40.906
-3.8323,46.098,42.266
0.054029,38.174,38.228
-3.7646,39.727,35.962
-25.036,72.035,46.998
-24.104,68.063,43.958
-14.518,56.817,42.299
-15.804,61.891,46.087
-0.9058,42.246,41.34
-2.6603,41.727,39.067
-9.628,54.45,44.822
-9.615,47.35,37.735
-7.1141,46.625,39.511
-2.1172,50.361,48.244
-1.3545,39.559,38.204
-4.4248,42.32,37.895
-2.7819,35.476,32.694
-5.4626,39.074,33.611
-2.9891,64.192,61.203
-13.254,46.663,33.409
-25.152,56.478,31.326
-1.7743,55.543,53.769
-0.09853,48.311,48.213
-8.4136,54.74,46.327
-10.877,55.296,44.419
-1.1008,40.072,38.971
-3.331,52.243,48.912
-6.6224,61.025,54.402
-2.5652,43.221,40.656
-6.5986,43.108,36.51
-1.7165,58.577,56.861
-0.29786,36.35,36.053
-5.2548,57.197,51.942
-2.7633,47.742,44.979
-2.1837,41.67,39.486
3.2357,38.268,41.503
-4.0232,74.349,70.326
-9.6883,76.771,67.083
