Distance,ratioNSP2,ratioOther
31.347,44.767,76.114
16.962,42.838,59.8
9.0122,43.702,52.714
6.4182,47.17,53.588
12.374,37.216,49.59
7.863,34.686,42.549
9.4983,31.425,40.923
32.445,44.526,76.971
15.282,26.999,42.281
17.913,52.324,70.237
10.128,37.5,47.628
48.899,42.013,90.912
-0.17866,32.115,31.937
8.2466,30.436,38.683
19.557,32.858,52.415
9.68,30.767,40.447
5.9397,23.513,29.453
9.7997,31.112,40.912
10.887,39.38,50.267
11.624,35.928,47.552
17.946,42.323,60.269
12.558,40.206,52.764
24.579,39.808,64.387
12.307,38.252,50.558
9.2472,41.27,50.517
21.625,44.277,65.902
22.515,43.509,66.024
9.7793,39.861,49.64
23.597,32.114,55.712
2.0499,28.801,30.851
23.911,41.629,65.54
13.377,41.985,55.362
8.2657,36.164,44.43
7.5597,30.87,38.43
18.004,37.922,55.926
16.795,37.745,54.54
14.563,30.74,45.303
13.016,30.882,43.898
18.785,35.806,54.591
23.522,31.693,55.214
27.823,43.555,71.377
15.796,43.789,59.585
23.159,32.397,55.557
19.248,28.774,48.022
16.792,36.242,53.035
17.781,38.75,56.531
16.879,24.022,40.901
6.7066,37.438,44.145
10.269,50.494,60.763
11.968,39.224,51.192
20.004,42.713,62.717
14.373,55.462,69.835
31.14,60.867,92.007
20.128,38.821,58.95
29.168,61.974,91.142
22.933,53.243,76.177
25.91,62.391,88.301
21.776,72.138,93.914
4.4425,53.017,57.46
21.995,37.955,59.95
