Distance,ratioNSP5,ratioOther
22.908,36.224,59.132
32.233,33.166,65.398
20.886,41.272,62.158
7.6477,33.718,41.366
18.249,36.585,54.834
17.048,36.449,53.497
17.812,39.168,56.98
22.19,47.409,69.6
16.592,34.162,50.754
26.075,37.921,63.995
7.1241,29.02,36.145
15.36,43.331,58.691
26.75,42.802,69.552
34.945,41.548,76.493
17.897,33.308,51.205
33.408,32.314,65.722
15.577,36.278,51.855
25.806,30.509,56.314
34.721,44.584,79.305
47.397,40.079,87.476
24.067,37.246,61.312
35.547,35.287,70.834
9.5137,29.324,38.838
