Distance,ratioNSP5,ratioOther
8.0374,46.678,54.716
11.015,38.91,49.925
7.0588,53.767,60.826
36.365,31.398,67.763
7.1876,44.008,51.195
14.871,32.984,47.856
15.643,38.257,53.901
12.802,27.921,40.723
15.828,39.791,55.619
16.29,28.05,44.34
7.5209,36.78,44.301
7.7567,29.342,37.098
4.1887,26.819,31.008
5.1868,34.912,40.099
2.3114,35.954,38.265
5.5991,24.59,30.189
16.384,52.819,69.203
15.773,25.545,41.318
3.865,25.077,28.942
4.4534,37.345,41.798
3.8429,37.183,41.026
6.3109,34.814,41.125
7.119,31.279,38.398
17.922,32.826,50.748
8.5444,37.517,46.062
4.8773,36.646,41.523
18.345,28.245,46.59
11.114,41.276,52.39
0.15907,45.098,45.257
12.446,38.051,50.497
4.859,32.26,37.119
9.6909,34.578,44.269
17.392,27.574,44.966
6.5576,26.365,32.922
2.412,32.529,34.941
6.6868,31.343,38.03
9.1942,23.866,33.06
14.611,35.537,50.147
